constraint_type,component_id,value,lower,upper,variable_name,master_value
p_balance_eq,1,8.578044958379438e-15,0.0,0.0,,
p_balance_eq,2,3.53831103549725e-13,0.0,0.0,,
p_balance_eq,3,-9.500665092967639e-14,0.0,0.0,,
p_balance_eq,4,-5.439610350696511e-14,0.0,0.0,,
p_balance_eq,5,-1.1924874743262162e-13,0.0,0.0,,
p_balance_eq,6,-4.744126878180373e-13,0.0,0.0,,
p_balance_eq,7,2.8028818618830963e-13,0.0,0.0,,
p_balance_eq,8,-2.381102923881308e-13,0.0,0.0,,
p_balance_eq,9,-8.341119339823864e-14,0.0,0.0,,
p_balance_eq,10,-1.5810101708715885e-13,0.0,0.0,,
p_balance_eq,11,1.9388395443710287e-13,0.0,0.0,,
p_balance_eq,12,8.745465086162398e-14,0.0,0.0,,
p_balance_eq,13,1.9612906608577722e-13,0.0,0.0,,
p_balance_eq,14,-1.84187998783069e-13,0.0,0.0,,
p_balance_eq,15,-3.4228851442672306e-13,0.0,0.0,,
p_balance_eq,16,8.617252758255124e-14,0.0,0.0,,
p_balance_eq,17,-1.8849593042577321e-13,0.0,0.0,,
p_balance_eq,18,-1.2006964263718955e-12,0.0,0.0,,
p_balance_eq,19,-1.2554880569957787e-13,0.0,0.0,,
p_balance_eq,20,-8.738920231985553e-15,0.0,0.0,,
p_balance_eq,21,-5.254727927198229e-13,0.0,0.0,,
p_balance_eq,22,1.825891858092373e-12,0.0,0.0,,
p_balance_eq,23,7.222515940625163e-13,0.0,0.0,,
p_balance_eq,24,-7.073131346574911e-14,0.0,0.0,,
q_balance_eq,1,-2.04078757338284e-11,0.0,0.0,,
q_balance_eq,2,-1.8756204143261738e-11,0.0,0.0,,
q_balance_eq,3,-3.654956234042973e-12,0.0,0.0,,
q_balance_eq,4,-3.5706463624046204e-12,0.0,0.0,,
q_balance_eq,5,-8.0622364185645e-12,0.0,0.0,,
q_balance_eq,6,-1.1272253299505174e-11,0.0,0.0,,
q_balance_eq,7,2.243940771314446e-12,0.0,0.0,,
q_balance_eq,8,-6.3296929682247e-13,0.0,0.0,,
