component_type,component_id,value,unit
bus_voltage,1,1.0048319142583597,p.u.
bus_voltage,2,1.0050569840252386,p.u.
bus_voltage,3,0.9775798124296412,p.u.
bus_voltage,4,0.9876998101926598,p.u.
bus_voltage,5,0.9897432276627735,p.u.
bus_voltage,6,0.9771415200878256,p.u.
bus_voltage,7,1.0102246666728638,p.u.
bus_voltage,8,0.9863524748098595,p.u.
bus_voltage,9,0.9896851982160831,p.u.
bus_voltage,10,0.9868862881365991,p.u.
bus_voltage,11,1.0085853148104917,p.u.
bus_voltage,12,1.0208440234951635,p.u.
bus_voltage,13,1.0502912073966444,p.u.
bus_voltage,14,1.0010986387992862,p.u.
bus_voltage,15,1.0011536393693228,p.u.
bus_voltage,16,1.0084754313141486,p.u.
bus_voltage,17,0.997098644708258,p.u.
bus_voltage,18,0.9912688666644424,p.u.
bus_voltage,19,1.0238960010911835,p.u.
bus_voltage,20,1.0467974038099768,p.u.
bus_voltage,21,0.994628081428665,p.u.
bus_voltage,22,1.0031909934308505,p.u.
bus_voltage,23,1.06412109388726,p.u.
bus_voltage,24,0.991199149172847,p.u.
bus_angle,13,0.0,rad
bus_angle,1,-0.14757277266970079,rad
bus_angle,2,-0.14659166071560636,rad
bus_angle,3,-0.2309918404223088,rad
bus_angle,4,-0.20575716267213612,rad
bus_angle,5,-0.19943720201858003,rad
bus_angle,6,-0.24312945285079082,rad
bus_angle,7,-0.08075158910173466,rad
bus_angle,8,-0.18259979194504875,rad
bus_angle,9,-0.18268059424093744,rad
bus_angle,10,-0.19554515944392528,rad
bus_angle,11,-0.10942692202480349,rad
bus_angle,12,-0.07042613112221659,rad
bus_angle,14,-0.13175169115170096,rad
bus_angle,15,-0.1409006201977799,rad
bus_angle,16,-0.1134893565951732,rad
bus_angle,17,-0.12582389235574742,rad
bus_angle,18,-0.14954238635701975,rad
bus_angle,19,-0.07047072741918094,rad
bus_angle,20,-0.004147948670201469,rad
bus_angle,21,-0.13068319439235454,rad
bus_angle,22,-0.004573466335853451,rad
bus_angle,23,0.04206896515332305,rad
bus_angle,24,-0.17481913850707914,rad
reactive_generation,1,6.2501458621438655,Mvar
reactive_generation,2,6.250145862141976,Mvar
reactive_generation,3,20.112315868926814,Mvar
reactive_generation,4,20.11231569882978,Mvar
reactive_generation,5,6.030471052961655,Mvar
reactive_generation,6,6.030471052963576,Mvar
reactive_generation,7,20.05202877927671,Mvar
reactive_generation,8,20.052028574289764,Mvar
reactive_generation,9,19.507528699842336,Mvar
reactive_generation,10,25.589772327592982,Mvar
reactive_generation,11,25.589772236874552,Mvar
reactive_generation,12,69.97466903264761,Mvar
reactive_generation,13,69.97466903290481,Mvar
reactive_generation,14,69.97466935454933,Mvar
reactive_generation,20,65.88091041538587,Mvar
