component_type,component_id,value,unit
bus_voltage,1,1.0933810429689723,p.u.
bus_voltage,2,1.093619358626667,p.u.
bus_voltage,3,1.0523748462342692,p.u.
bus_voltage,4,1.0631911095999558,p.u.
bus_voltage,5,1.0674326325515813,p.u.
bus_voltage,6,1.0505119795010793,p.u.
bus_voltage,7,1.0915118348580886,p.u.
bus_voltage,8,1.0636881789515862,p.u.
bus_voltage,9,1.0510393243599467,p.u.
bus_voltage,10,1.0510073557442456,p.u.
bus_voltage,11,1.0561798436389271,p.u.
bus_voltage,12,1.05854149310208,p.u.
bus_voltage,13,1.0704916110134857,p.u.
bus_voltage,14,1.0548834253087276,p.u.
bus_voltage,15,1.0667662941364286,p.u.
bus_voltage,16,1.0645618205571297,p.u.
bus_voltage,17,1.0657376538326786,p.u.
bus_voltage,18,1.0631136581222482,p.u.
bus_voltage,19,1.0609680692931214,p.u.
bus_voltage,20,1.06358301671062,p.u.
bus_voltage,21,1.0671965794798937,p.u.
bus_voltage,22,1.096739191852637,p.u.
bus_voltage,23,1.0676043557234085,p.u.
bus_voltage,24,1.0608124855095808,p.u.
bus_angle,13,0.0,rad
bus_angle,1,-0.08666696638921875,rad
bus_angle,2,-0.08640642848854192,rad
bus_angle,3,-0.15202968522583327,rad
bus_angle,4,-0.14941103966320995,rad
bus_angle,5,-0.1429208942999976,rad
bus_angle,6,-0.18556771671554367,rad
bus_angle,7,-0.2451991154511852,rad
bus_angle,8,-0.24789221047564897,rad
bus_angle,9,-0.15152528355011943,rad
bus_angle,10,-0.16213348132843172,rad
bus_angle,11,-0.0858956135346039,rad
bus_angle,12,-0.07012866674859788,rad
bus_angle,14,-0.09198572415495665,rad
bus_angle,15,-0.0920253886071473,rad
bus_angle,16,-0.07987164359504945,rad
bus_angle,17,-0.08039804220877998,rad
bus_angle,18,-0.09558508866331916,rad
bus_angle,19,-0.07229106955165872,rad
bus_angle,20,-0.041963658156582886,rad
bus_angle,21,-0.08071762788911775,rad
bus_angle,22,0.02536930404734377,rad
bus_angle,23,-0.01639296258263455,rad
bus_angle,24,-0.11476401008204296,rad
reactive_generation,1,9.97996891765361,Mvar
reactive_generation,2,9.97996891765361,Mvar
reactive_generation,3,26.42409124220294,Mvar
reactive_generation,4,26.424091242202955,Mvar
reactive_generation,5,9.979672576942267,Mvar
reactive_generation,6,9.979672576942267,Mvar
reactive_generation,7,26.263621639712103,Mvar
reactive_generation,8,26.263621639712085,Mvar
reactive_generation,10,34.12288918862292,Mvar
reactive_generation,11,34.12288918862291,Mvar
reactive_generation,12,39.31777505110048,Mvar
reactive_generation,13,39.317775051100476,Mvar
reactive_generation,14,39.31777505110048,Mvar
reactive_generation,20,73.31424086742443,Mvar
reactive_generation,21,40.49793756914239,Mvar
reactive_generation,24,16.0,Mvar
reactive_generation,25,16.0,Mvar
reactive_generation,26,16.0,Mvar
reactive_generation,27,16.0,Mvar
reactive_generation,28,16.0,Mvar
reactive_generation,29,16.0,Mvar
reactive_generation,30,25.76289823882115,Mvar
reactive_generation,31,25.762898238821116,Mvar
