constraint_type,component_id,multiplier
p_balance_eq,1,4.670456438361404e-11
p_balance_eq,2,4.793702358447027e-11
p_balance_eq,3,-1.9453709248571036e-10
p_balance_eq,4,-1.0944334118456746e-10
p_balance_eq,5,-2.5707464165437545e-11
p_balance_eq,6,-7.256253230109401e-11
p_balance_eq,7,1.3280253924335806e-10
p_balance_eq,8,1.2237316263337586e-10
p_balance_eq,9,-1.4556736561600894e-10
p_balance_eq,10,1.6413773191533498e-11
p_balance_eq,11,1.7093949651863227e-11
p_balance_eq,12,-4.637697142086165e-11
p_balance_eq,13,3.3827483896895355e-10
p_balance_eq,14,-6.161008350686292e-11
p_balance_eq,15,-1.5494507482827526e-10
p_balance_eq,16,-3.347766641271924e-11
p_balance_eq,17,-4.303521415783786e-11
p_balance_eq,18,-1.8808340581407345e-10
p_balance_eq,19,-1.3146222434953546e-11
p_balance_eq,20,1.1201210856400198e-10
p_balance_eq,21,-7.996924231443138e-11
p_balance_eq,22,2.359592921574462e-10
p_balance_eq,23,2.927824360541264e-10
p_balance_eq,24,-1.9373594792995024e-10
q_balance_eq,1,7.176250456936979e-13
q_balance_eq,2,-1.8579120562447173e-12
q_balance_eq,3,-6.904060889599287e-11
q_balance_eq,4,-4.6468377621820394e-11
q_balance_eq,5,-3.524654394935425e-11
q_balance_eq,6,-5.685289996112919e-11
q_balance_eq,7,1.1233707911205896e-11
q_balance_eq,8,-7.370668432579388e-11
q_balance_eq,9,-5.569748997117354e-11
q_balance_eq,10,-4.581694864368395e-11
q_balance_eq,11,-3.8086787843220925e-11
q_balance_eq,12,-4.766938900338288e-11
q_balance_eq,13,5.383325116012681e-11
q_balance_eq,14,-8.914465896844665e-11
q_balance_eq,15,-6.178527775980706e-11
q_balance_eq,16,-7.967294058323178e-11
q_balance_eq,17,9.246688685004027e-11
q_balance_eq,18,1.61970551281061e-11
q_balance_eq,19,-4.2410784912825626e-11
q_balance_eq,20,-3.7465116457257406e-12
q_balance_eq,21,-1.8968787321772183e-12
q_balance_eq,22,2.6777231909098746e-11
q_balance_eq,23,4.786960455596452e-11
q_balance_eq,24,-6.924538617332884e-11
line_mva_ineq,1,9.822737704498447e-09
line_mva_ineq,2,9.829660875127206e-09
line_mva_ineq,3,9.83725662654178e-09
line_mva_ineq,4,9.830692254561386e-09
line_mva_ineq,5,9.830397808922204e-09
line_mva_ineq,6,7.042989463919222e-09
line_mva_ineq,7,9.790341065433356e-09
line_mva_ineq,8,9.821653281671963e-09
line_mva_ineq,9,9.823745086911427e-09
line_mva_ineq,10,9.821796503232881e-09
line_mva_ineq,11,9.826012612803037e-09
line_mva_ineq,12,-3.90847640253629e-08
line_mva_ineq,13,9.83258118026836e-09
line_mva_ineq,14,9.804184689656506e-09
line_mva_ineq,15,-2.226410305343443e-09
line_mva_ineq,16,9.813553609649827e-09
line_mva_ineq,17,-1.024734275282345e-08
line_mva_ineq,18,9.803377641528048e-09
line_mva_ineq,19,9.828678507636212e-09
line_mva_ineq,20,9.810919638942835e-09
line_mva_ineq,21,9.842090861832795e-09
line_mva_ineq,22,9.866405342448466e-09
line_mva_ineq,23,9.834367960383073e-09
line_mva_ineq,24,9.827916030107695e-09
line_mva_ineq,25,9.864530754126967e-09
line_mva_ineq,26,9.86451419762796e-09
line_mva_ineq,27,9.84919537325124e-09
line_mva_ineq,28,-3.535748220056446e-08
line_mva_ineq,29,9.854645051090555e-09
line_mva_ineq,30,5.219445121518794e-09
line_mva_ineq,31,9.821263616078929e-09
line_mva_ineq,32,9.841520439541634e-09
line_mva_ineq,33,9.84152031419431e-09
line_mva_ineq,34,9.82826229158844e-09
line_mva_ineq,35,9.828221702271049e-09
line_mva_ineq,36,7.723256268972673e-09
line_mva_ineq,37,7.725979252748776e-09
line_mva_ineq,38,9.809622076600257e-09
