scenario_id,hour,bus_id,theta_rad
1,1,1,-0.09477649061244849
1,1,2,-0.09443312854856217
1,1,3,-0.17063756803643534
1,1,4,-0.16760646864005324
1,1,5,-0.1603072207494516
1,1,6,-0.20776408756516204
1,1,7,-0.27440105447657703
1,1,8,-0.2775247666299
1,1,9,-0.1699430662524261
1,1,10,-0.18176514496362192
1,1,11,-0.09707261545616323
1,1,12,-0.07942504158385816
1,1,13,0.0
1,1,14,-0.10381726274694678
1,1,15,-0.10392022883656504
1,1,16,-0.0901749713667329
1,1,17,-0.0907387523210616
1,1,18,-0.10794480171725566
1,1,19,-0.08169743917711603
1,1,20,-0.04755248301458731
1,1,21,-0.0910756725284163
1,1,22,0.03278835514378851
1,1,23,-0.01855996147138984
1,1,24,-0.12941823991516055
1,2,1,-0.08336723600261846
1,2,2,-0.08314104763079179
1,2,3,-0.15978384951141958
1,2,4,-0.16035437704118277
1,2,5,-0.1525263842075336
1,2,6,-0.2012803587669057
1,2,7,-0.35695611395668386
1,2,8,-0.3216511139566839
1,2,9,-0.16983447996034268
1,2,10,-0.18091054795302497
1,2,11,-0.09244983911876996
1,2,12,-0.08204805258892185
1,2,13,0.0
1,2,14,-0.09100861242916036
1,2,15,-0.09024791733933374
1,2,16,-0.07964339785209758
1,2,17,-0.07702927520380037
1,2,18,-0.09255463960377466
1,2,19,-0.08070111155960086
1,2,20,-0.056521123308889414
1,2,21,-0.07633023606069597
1,2,22,0.047128025904049985
1,2,23,-0.03365523880850137
1,2,24,-0.11682313736680985
1,3,1,-0.058633792478612175
1,3,2,-0.058372296635002666
1,3,3,-0.14042193075158801
1,3,4,-0.13918524549965852
1,3,5,-0.13042146105790875
1,3,6,-0.1798810776449361
1,3,7,-0.32559641277406454
1,3,8,-0.29412891277406455
1,3,9,-0.15544842472037534
1,3,10,-0.1646870008277537
1,3,11,-0.08918788993997796
1,3,12,-0.07955076654854858
1,3,13,0.0
1,3,14,-0.09688196902178071
1,3,15,-0.0855658522606103
1,3,16,-0.07990894156385045
1,3,17,-0.07348466674564383
1,3,18,-0.08702578821483725
1,3,19,-0.08879615438699778
1,3,20,-0.07311906537826696
1,3,21,-0.07117311898053551
1,3,22,0.05165355381857287
1,3,23,-0.05558232591895924
1,3,24,-0.10653073056459958
1,4,1,-0.04346735018311042
1,4,2,-0.04276458114402117
1,4,3,-0.1434490974716115
1,4,4,-0.12600470910187836
1,4,5,-0.11522141234979531
1,4,6,-0.16381195313448765
1,4,7,-0.29981272157668165
1,4,8,-0.27218272157668166
1,4,9,-0.14809135874062976
1,4,10,-0.15258648441273365
1,4,11,-0.08779566373537855
1,4,12,-0.07837421012726303
1,4,13,0.0
1,4,14,-0.10257391368026068
1,4,15,-0.11317499122178043
1,4,16,-0.10819335546706675
1,4,17,-0.09945387595546436
1,4,18,-0.11172851518441917
1,4,19,-0.11036324184329122
1,4,20,-0.09072034445148364
1,4,21,-0.0968930664354584
1,4,22,0.02583597524301415
1,4,23,-0.07171163678322497
1,4,24,-0.12474513933935209
1,5,1,-0.04792740901088869
1,5,2,-0.047447973154688225
1,5,3,-0.13915281923997516
1,5,4,-0.12985245822125188
1,5,5,-0.12000196225358631
1,5,6,-0.1691217606082437
1,5,7,-0.3089799991072305
1,5,8,-0.2798149991072305
1,5,9,-0.14972040020548757
1,5,10,-0.15644807800897345
1,5,11,-0.08700513127245535
1,5,12,-0.07881814135820206
1,5,13,0.0
1,5,14,-0.09756596723206495
1,5,15,-0.09943833142292466
1,5,16,-0.09740399483632685
1,5,17,-0.0884647821668418
1,5,18,-0.10070548307603834
1,5,19,-0.10310939157936728
1,5,20,-0.08578017164483054
1,5,21,-0.08497704340757273
1,5,22,0.03738893759832883
1,5,23,-0.06775698986235595
1,5,24,-0.11461640150911702
1,6,1,-0.05107509866232898
1,6,2,-0.050669058901918404
1,6,3,-0.13913108161984805
1,6,4,-0.13254519626132077
1,6,5,-0.12305893804994533
1,6,6,-0.17229491612516445
1,6,7,-0.3141050663148154
1,6,8,-0.2841725663148154
1,6,9,-0.15121332211901645
1,6,10,-0.1587833305106144
1,6,11,-0.08682161754931383
1,6,12,-0.07916067229722389
1,6,13,0.0
1,6,14,-0.095131200131797
1,6,15,-0.0939164191287638
1,6,16,-0.09062778383943808
1,6,17,-0.08254325064290526
1,6,18,-0.09522528319818761
1,6,19,-0.0984354486214703
1,6,20,-0.08254979272035509
1,6,21,-0.07946250053088946
1,6,22,0.04306289023979415
1,6,23,-0.06517576950156499
1,6,24,-0.11119654418978937
1,7,1,-0.05998951252391457
1,7,2,-0.05964898489159161
1,7,3,-0.1442738030439096
1,7,4,-0.14023368774067035
1,7,5,-0.13125892887284513
1,7,6,-0.18041198567031738
1,7,7,-0.3261751825541502
1,7,8,-0.2947076825541502
1,7,9,-0.15631005471343656
1,7,10,-0.16498291039486382
1,7,11,-0.08841182852488082
1,7,12,-0.07993444132548588
1,7,13,0.0
1,7,14,-0.09407442155164687
1,7,15,-0.10399663206887036
1,7,16,-0.09984512370428457
1,7,17,-0.0928940882214243
1,7,18,-0.10618229906709935
1,7,19,-0.1004631703406736
1,7,20,-0.07769822460043566
1,7,21,-0.09010218590400851
1,7,22,0.0325363410912498
1,7,23,-0.05629538146939678
1,7,24,-0.11938974822207019
1,8,1,-0.06649780283429202
1,8,2,-0.06650686369121875
1,8,3,-0.13718681553524595
1,8,4,-0.14588023481994458
1,8,5,-0.13834362153082486
1,8,6,-0.18834715347425515
1,8,7,-0.3398877204984257
1,8,8,-0.30611772049842567
1,8,9,-0.15866302454408732
1,8,10,-0.17078913645276406
1,8,11,-0.08752329993289519
1,8,12,-0.080512416892002
1,8,13,0.0
1,8,14,-0.08745526837757536
1,8,15,-0.08502751324033724
1,8,16,-0.07758999903779087
1,8,17,-0.07303613160940649
1,8,18,-0.08756821886753746
1,8,19,-0.08595924421107633
1,8,20,-0.06876304293103533
1,8,21,-0.07131302567259275
1,8,22,0.051744128674513154
1,8,23,-0.049982976778285705
1,8,24,-0.10496173849148423
1,9,1,-0.07793793488684604
1,9,2,-0.07793478451410532
1,9,3,-0.1473100817113907
1,9,4,-0.15579225390212276
1,9,5,-0.14855965837145987
1,9,6,-0.19817878457646265
1,9,7,-0.35371946766201817
1,9,8,-0.3184144676620182
1,9,9,-0.16579956531125792
1,9,10,-0.1784721700127784
1,9,11,-0.09103299828009286
