scenario_id,probability,thermal_mwh,wind_used_mwh,wind_curtailed_mwh,load_shed_mwh,max_abs_line_loading_percent
1,0.01,51150.85950782052,3597.6404921794365,0.0,0.0,99.99999999999999
2,0.01,50353.14425294459,4395.355747055353,0.0,0.0,99.99999999999999
3,0.01,50236.633442881866,4511.866557118083,0.0,0.0,99.99999999999999
4,0.02,50245.27730873169,4503.222691268265,0.0,0.0,100.0
5,0.02,51552.87240024503,3195.6275997549224,0.0,0.0,99.99999999999999
6,0.03,48875.76910816127,5872.730891838672,0.0,0.0,100.0
7,0.03,51312.81022923036,3435.6897707695884,0.0,0.0,99.99999999999999
8,0.03,49406.44230721785,5342.057692782109,0.0,0.0,100.0
9,0.04,50715.11545397289,4033.3845460270677,0.0,0.0,99.99999999999999
10,0.04,50163.61795509732,4584.882044902637,0.0,0.0,99.99999999999999
11,0.05,50907.52308732875,3840.976912671191,0.0,0.0,100.0
12,0.05,51469.22293327551,3279.2770667244367,0.0,0.0,100.0
13,0.01,50797.60197418878,3950.8980258111715,0.0,0.0,100.0
14,0.01,51111.816983668345,3636.68301633161,0.0,0.0,99.99999999999999
15,0.01,50485.11989306162,4263.380106938328,0.0,0.0,100.0
16,0.01,49174.42342651509,5574.076573484865,0.0,0.0,99.99999999999999
17,0.01,48922.2224961348,5826.277503865151,0.0,0.0,99.99999999999999
18,0.02,51417.143605323945,3331.3563946760123,0.0,0.0,99.99999999999999
19,0.02,50941.4274183712,3807.0725816287595,0.0,0.0,100.0
20,0.03,50110.16313641835,4638.336863581605,0.0,0.0,100.0
21,0.03,51953.30415110565,2795.1958488943055,0.0,0.0,99.99999999999999
22,0.04,50281.349627240954,4467.150372758994,0.0,0.0,99.99999999999999
23,0.04,51501.36794059888,3247.132059401065,0.0,0.0,99.99999999999999
24,0.05,51245.31274498793,3503.1872550120215,0.0,0.0,100.0
25,0.05,50915.98979886294,3832.510201137012,0.0,0.0,99.99999999999996
26,0.01,52080.936901931105,2667.563098068845,0.0,0.0,100.0
27,0.01,50821.15428108955,3927.345718910406,0.0,0.0,99.99999999999999
28,0.01,48635.75394061387,6112.746059386083,0.0,0.0,99.99999999999999
29,0.01,50465.61703492363,4282.882965076322,0.0,0.0,100.0
30,0.01,50389.19829203507,4359.301707964878,0.0,0.0,100.0
31,0.02,48958.40197909878,5790.0980209011705,0.0,0.0,99.99999999999999
32,0.02,49859.56822082563,4888.931779174314,0.0,0.0,100.0
33,0.02,51591.99623735254,3156.503762647413,0.0,0.0,100.0
34,0.02,50834.738801810694,3913.7611981892674,0.0,0.0,99.99999999999999
35,0.02,50256.79346915299,4491.706530846966,0.0,0.0,99.99999999999999
36,0.03,50279.515434974994,4468.984565024959,0.0,0.0,99.99999999999999
37,0.03,51529.23273171045,3219.2672682895,0.0,0.0,100.0
38,0.04,50447.100018989084,4301.399981010865,0.0,0.0,99.99999999999999
39,0.04,50027.478852339395,4721.021147660555,0.0,0.0,100.0
40,0.04,50132.65129466869,4615.848705331264,0.0,0.0,99.99999999999999
