scenario_id,hour,total_load_mw,wind_mw,thermal_dispatch_mw,shortage_mw,curtailment_mw,slack_bus,slack_adjustment_mw,max_abs_line_loading_percent,overloaded_line_count
1,1,2137.5,143.6625209229257,1993.8374790770742,0.0,0.0,13,-1.5916157281026244e-12,44.314948528827166,0
1,2,1995.0,157.0905572306532,1837.9094427693467,0.0,0.0,13,-1.3642420526593924e-12,61.22842281468799,0
1,3,1852.5,114.56775662676438,1737.9322433732357,0.0,0.0,13,-1.4779288903810084e-12,56.68186369289097,0
1,4,1710.0,137.75926196382724,1572.2407380361728,0.0,0.0,13,-1.3642420526593924e-12,51.95614133751486,0
1,5,1767.0,142.64009493106227,1624.3599050689377,0.0,0.0,13,-1.4210854715202004e-12,53.90395247716699,0
1,6,1795.5,139.328641070054,1656.171358929946,0.0,0.0,13,-1.5916157281026244e-12,54.82743509676159,0
1,7,1852.5,184.93581596944927,1667.5641840305507,0.0,0.0,13,-1.4779288903810084e-12,56.80841496359258,0
1,8,1938.0,175.2903114956406,1762.7096885043593,0.0,0.0,13,-1.3642420526593924e-12,59.71870989887842,0
1,9,1995.0,174.50158913775158,1820.4984108622484,0.0,0.0,13,-1.5916157281026244e-12,61.504711939692406,0
1,10,2052.0,188.83610445191152,1863.1638955480885,0.0,0.0,13,-1.5916157281026244e-12,63.32897691815379,0
1,11,2137.5,209.91187168725418,1927.5881283127458,0.0,0.0,13,-1.5916157281026244e-12,56.684910372012105,0
1,12,2223.0,211.51789333366338,2011.4821066663367,0.0,0.0,13,-1.9326762412674725e-12,44.21906639200831,0
1,13,2280.0,195.10056214730997,2084.89943785269,0.0,0.0,13,-1.8189894035458565e-12,51.37110734439431,0
1,14,2422.5,200.22930591649572,2222.270694083504,0.0,0.0,13,-1.8189894035458565e-12,126.29753947628814,1
1,15,2422.5,181.80593469287527,2240.6940653071247,0.0,0.0,13,-1.8189894035458565e-12,136.82518017549984,1
1,16,2565.0,134.0876580286576,2430.9123419713424,0.0,0.0,13,-2.0463630789890885e-12,241.94990969790993,1
1,17,2622.0,124.10316663825432,2497.896833361746,0.0,0.0,13,-2.2737367544323206e-12,248.5714285714286,1
1,18,2707.5,108.11784470276078,2599.382155297239,0.0,0.0,13,-1.9326762412674725e-12,246.42857142857142,1
1,19,2793.0,96.71602057232585,2696.2839794276742,0.0,0.0,13,-2.2737367544323206e-12,244.28571428571433,1
1,20,2850.0,111.23416411324281,2738.765835886757,0.0,0.0,13,-2.0463630789890885e-12,242.85714285714295,1
1,21,2764.5,101.49366471947421,2663.006335280526,0.0,0.0,13,-2.3874235921539366e-12,244.99999999999997,1
1,22,2650.5,118.96808669593874,2531.531913304061,0.0,0.0,13,-2.0463630789890885e-12,247.8571428571429,1
1,23,2593.5,110.56396089755978,2482.93603910244,0.0,0.0,13,-2.0463630789890885e-12,249.28571428571433,1
1,24,2622.0,135.17770423358402,2486.822295766416,0.0,0.0,13,-2.2737367544323206e-12,248.57142857142853,1
2,1,2137.5,165.1613591714606,1972.3386408285394,0.0,0.0,13,-1.5916157281026244e-12,46.17395987692715,0
2,2,1995.0,163.18223473579476,1831.8177652642053,0.0,0.0,13,-1.5916157281026244e-12,61.8203659624549,0
2,3,1852.5,170.499988840068,1682.000011159932,0.0,0.0,13,-1.4210854715202004e-12,57.0402792971594,0
2,4,1710.0,167.93967664165137,1542.0603233583486,0.0,0.0,13,-1.3073986337985843e-12,52.336289198853834,0
2,5,1767.0,191.9808685432303,1575.0191314567696,0.0,0.0,13,-1.4210854715202004e-12,54.52283204319638,0
2,6,1795.5,208.15685495403022,1587.3431450459698,0.0,0.0,13,-1.4779288903810084e-12,55.52163961657509,0
2,7,1852.5,181.46762477558966,1671.0323752244103,0.0,0.0,13,-1.4210854715202004e-12,57.16860903731018,0
2,8,1938.0,184.37940591562688,1753.6205940843731,0.0,0.0,13,-1.5916157281026244e-12,60.2207609257193,0
2,9,1995.0,242.07178869809002,1752.9282113019099,0.0,0.0,13,-1.4779288903810084e-12,62.16479444678241,0
2,10,2052.0,253.40478903114,1798.59521096886,0.0,0.0,13,-1.7053025658242404e-12,64.07718206793521,0
2,11,2137.5,253.97959193943154,1883.5204080605686,0.0,0.0,13,-1.8189894035458565e-12,67.17062692156755,0
2,12,2223.0,228.89776924031182,1994.1022307596882,0.0,0.0,13,-1.8189894035458565e-12,46.643873316234455,0
2,13,2280.0,215.4687170529946,2064.5312829470054,0.0,0.0,13,-1.8189894035458565e-12,44.35018437821692,0
2,14,2422.5,216.58019938745366,2205.919800612546,0.0,0.0,13,-1.8189894035458565e-12,116.95417177859785,1
2,15,2422.5,202.1058402556739,2220.3941597443263,0.0,0.0,13,-2.0463630789890885e-12,125.22523413961505,1
2,16,2565.0,180.31189321928622,2384.688106780714,0.0,0.0,13,-2.2737367544323206e-12,215.53606101755085,1
2,17,2622.0,145.483685186562,2476.516314813438,0.0,0.0,13,-2.0463630789890885e-12,248.5714285714286,1
2,18,2707.5,144.22174030458274,2563.278259695417,0.0,0.0,13,-2.0463630789890885e-12,246.42857142857142,1
2,19,2793.0,148.49532609500062,2644.5046739049994,0.0,0.0,13,-2.2737367544323206e-12,244.28571428571433,1
