constraint_type,component_id,multiplier
p_balance_eq,1,6.3904704119683876e-12
p_balance_eq,2,6.424317290107827e-12
p_balance_eq,3,3.112195614460279e-11
p_balance_eq,4,2.059182731495467e-11
p_balance_eq,5,2.789497636418888e-11
p_balance_eq,6,3.528427888062499e-11
p_balance_eq,7,-2.864366580164434e-11
p_balance_eq,8,1.2886466422313185e-11
p_balance_eq,9,1.4395943675614056e-11
p_balance_eq,10,1.9491464568460638e-11
p_balance_eq,11,-4.4919970797605066e-12
p_balance_eq,12,-2.6974094160538664e-11
p_balance_eq,13,-6.399664823625296e-11
p_balance_eq,14,1.6489667523184623e-11
p_balance_eq,15,2.0460370537579643e-11
p_balance_eq,16,3.379259765426003e-12
p_balance_eq,17,1.5986017957327064e-11
p_balance_eq,18,3.2613468036375936e-11
p_balance_eq,19,-1.782376922514163e-11
p_balance_eq,20,-5.871565007180804e-11
p_balance_eq,21,1.4734984976268178e-11
p_balance_eq,22,-2.9840300840432055e-11
p_balance_eq,23,-7.584393190669669e-11
p_balance_eq,24,2.7912412252107477e-11
q_balance_eq,1,6.516159858529332e-12
q_balance_eq,2,5.208731312380986e-12
q_balance_eq,3,1.2727876670953877e-11
q_balance_eq,4,8.623837177740794e-12
q_balance_eq,5,2.4444880852850943e-11
q_balance_eq,6,7.766863395690607e-12
q_balance_eq,7,-6.234445308975088e-12
q_balance_eq,8,4.656687804391696e-12
q_balance_eq,9,7.713468122792274e-12
q_balance_eq,10,3.909073980459113e-12
q_balance_eq,11,1.7835833197469662e-12
q_balance_eq,12,-2.6287103298555823e-12
q_balance_eq,13,-1.4381509406208222e-11
q_balance_eq,14,8.357228719400168e-12
q_balance_eq,15,1.0209470854569471e-11
q_balance_eq,16,4.814686113832167e-12
q_balance_eq,17,1.6591391946311587e-11
q_balance_eq,18,1.9714929295373053e-11
q_balance_eq,19,-2.4448480938726892e-12
q_balance_eq,20,-1.4099222843355889e-11
q_balance_eq,21,1.5758444799089054e-11
q_balance_eq,22,1.7126915973462078e-11
q_balance_eq,23,-1.9212472648224898e-11
q_balance_eq,24,1.2081110859988434e-11
line_mva_ineq,1,-9.930706644580694e-10
line_mva_ineq,2,-1.2689660488814088e-09
line_mva_ineq,3,-2.458456706895937e-09
line_mva_ineq,4,-1.337963479229904e-09
line_mva_ineq,5,-1.2992674982343594e-09
line_mva_ineq,6,-1.3163077216344447e-09
line_mva_ineq,7,-1.2983241932110913e-09
line_mva_ineq,8,-1.4730374889166849e-09
line_mva_ineq,9,1.0737739736156263e-08
line_mva_ineq,10,-1.3377344050795696e-09
line_mva_ineq,11,-1.2306803594509437e-09
line_mva_ineq,12,7.57554732603522e-09
line_mva_ineq,13,-4.374585313343459e-09
line_mva_ineq,14,-1.2979427974664405e-09
line_mva_ineq,15,-1.2967227978390013e-09
line_mva_ineq,16,-1.3230408777870414e-09
line_mva_ineq,17,-1.2955955872660073e-09
line_mva_ineq,18,-1.2563636586148e-09
line_mva_ineq,19,-1.303768846141424e-09
line_mva_ineq,20,-1.2973238787197996e-09
line_mva_ineq,21,-1.2972778857616953e-09
line_mva_ineq,22,-1.2984084005918506e-09
line_mva_ineq,23,-1.2960558609416326e-09
line_mva_ineq,24,-6.436028777791958e-10
line_mva_ineq,25,-1.298996266353555e-09
line_mva_ineq,26,-1.2989962659334268e-09
line_mva_ineq,27,-1.2977800451863495e-09
line_mva_ineq,28,-1.2994041576410902e-09
line_mva_ineq,29,-6.746213183986156e-10
line_mva_ineq,30,-4.321747331179402e-10
line_mva_ineq,31,-1.298255586665114e-09
line_mva_ineq,32,-1.2990250874192766e-09
line_mva_ineq,33,-1.2990250872837513e-09
line_mva_ineq,34,-1.297425888354406e-09
line_mva_ineq,35,-1.2974258884086162e-09
line_mva_ineq,36,-4.3943311460312993e-10
line_mva_ineq,37,-4.394331179473772e-10
line_mva_ineq,38,-1.2969376092247795e-09
